playerID,year,CrushA,CrushTD,CrushY,CrushGP,CrecA,CrecTD,CrecY,CrecGP,CpassA,CpassTD,CpassY,CpassGP
allamamatthews/2520358,1983,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allamamatthews/2520358,1984,0,0,0,0.0,3.0,0.0,37.0,16.0,0.0,0.0,0.0,0.0
allamamatthews/2520358,1985,0,0,0,0.0,4.0,0.0,44.0,22.0,0.0,0.0,0.0,0.0
allenhurns/2550353,2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allenhurns/2550353,2015,0,0,0,0.0,51.0,6.0,677.0,16.0,0.0,0.0,0.0,0.0
allenhurns/2550353,2016,0,0,0,0.0,115.0,16.0,1708.0,31.0,0.0,0.0,0.0,0.0
allenpinkett/2502487,1986,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allenpinkett/2502487,1987,77,2,225,16.0,35.0,1.0,248.0,16.0,0.0,0.0,0.0,0.0
allenpinkett/2502487,1988,108,4,374,24.0,36.0,1.0,255.0,24.0,0.0,0.0,0.0,0.0
allenpinkett/2502487,1989,230,11,887,40.0,48.0,3.0,369.0,40.0,0.0,0.0,0.0,0.0
allenpinkett/2502487,1990,324,12,1336,56.0,79.0,4.0,608.0,56.0,0.0,0.0,0.0,0.0
allenpinkett/2502487,1991,390,12,1604,71.0,90.0,4.0,693.0,71.0,0.0,0.0,0.0,0.0
allenreisner/2495437,2013,0,0,0,0.0,2.0,0.0,18.0,10.0,0.0,0.0,0.0,0.0
allenreisner/2495437,2011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allenreisner/2495437,2012,0,0,0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0
allenrice/2502641,1991,307,13,934,89.0,100.0,6.0,1066.0,89.0,1.0,0.0,0.0,14.0
allenrice/2502641,1984,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allenrice/2502641,1985,14,1,58,14.0,4.0,1.0,59.0,14.0,0.0,0.0,0.0,0.0
allenrice/2502641,1986,45,4,162,28.0,13.0,2.0,120.0,28.0,0.0,0.0,0.0,0.0
